cycle,dom_a,npts_a,mass_a,dom_b,npts_b,mass_b,chosen
33,0.2221105527638191,10,0.4,0.5697934115019543,18,0.72,
34,0.22311557788944722,10,0.4,0.5631096659769436,17,0.68,
35,0.22311557788944722,10,0.4,0.5625,16,0.64,
36,0.2222222222222222,9,0.36,0.5616316878510199,17,0.68,
37,0.2222222222222222,9,0.36,0.5496231155778895,16,0.64,
38,0.21959798994974875,10,0.4,0.5494137353433836,15,0.6,
39,0.21959798994974875,10,0.4,0.5477386934673366,14,0.56,
40,0.21653723161260852,11,0.44,0.5508310784692694,13,0.52,
41,0.2170854271356784,10,0.4,0.5488155061019382,14,0.56,
42,0.21927820922795796,11,0.44,0.5527638190954774,15,0.6,
43,0.21927820922795796,11,0.44,0.5565326633165829,16,0.64,
44,0.2252931323283082,12,0.48,0.5564489112227805,15,0.6,
45,0.2252931323283082,12,0.48,0.5567121320890165,14,0.56,
46,0.22887163088168114,11,0.44,0.548073701842546,15,0.6,
47,0.22887163088168114,11,0.44,0.548073701842546,15,0.6,
48,0.22887163088168114,11,0.44,0.5480976310122038,14,0.56,
49,0.2085427135678392,8,0.32,0.5470208183776022,14,0.56,
50,0.20603015075376882,7,0.28,0.5442597603401622,13,0.52,
51,0.2068676716917923,6,0.24,0.5439698492462312,12,0.48,
52,0.760678391959799,8,0.32,0.5431703974417542,11,0.44,
53,0.23869346733668342,8,0.32,0.5672808486878839,9,0.36,
54,0.7554438860971524,9,0.36,0.5672808486878839,9,0.36,
55,0.2613065326633166,9,0.36,0.5672110552763819,8,0.32,
56,0.24399776661083195,9,0.36,0.5622557230597433,9,0.36,
57,0.7587939698492463,10,0.4,0.5628140703517588,8,0.32,
58,0.24399776661083195,9,0.36,0.5628140703517588,8,0.32,
59,0.7638190954773869,10,0.4,0.5544388609715243,9,0.36,
60,0.7582356225572305,9,0.36,0.549748743718593,10,0.4,
61,0.7582356225572305,9,0.36,0.5499720826353992,9,0.36,
62,0.7562814070351759,10,0.4,0.25795644891122277,6,0.24,
63,0.7562814070351759,10,0.4,0.25795644891122277,6,0.24,
64,0.7582356225572305,9,0.36,0.2562814070351759,7,0.28,
65,0.7582356225572305,9,0.36,0.26005025125628145,8,0.32,
66,0.292713567839196,8,0.32,0.26005025125628145,8,0.32,
67,0.7518844221105527,8,0.32,0.26005025125628145,8,0.32,
68,0.7518844221105527,8,0.32,0.48129536571747633,9,0.36,
69,0.7518844221105527,8,0.32,0.48129536571747633,9,0.36,
70,0.7518844221105527,8,0.32,0.48129536571747633,9,0.36,
71,0.750897343862168,7,0.28,0.2644472361809045,8,0.32,
72,0.750897343862168,7,0.28,0.2644472361809045,8,0.32,
73,0.750897343862168,7,0.28,0.5085427135678392,10,0.4,
74,0.5498923187365398,7,0.28,0.27414852037967613,9,0.36,
75,0.32160804020100503,8,0.32,0.49804578447794534,9,0.36,
76,0.3173007896625987,7,0.28,0.49804578447794534,9,0.36,
77,0.32160804020100503,8,0.32,0.2735901730876605,9,0.36,
78,0.3234924623115578,8,0.32,0.2735901730876605,9,0.36,
79,0.3234924623115578,8,0.32,0.26800670016750416,9,0.36,
80,0.565605806811837,9,0.36,0.4974874371859297,9,0.36,
81,0.5663316582914573,10,0.4,0.2786152987158012,9,0.36,
82,0.5663316582914573,10,0.4,0.271356783919598,10,0.4,
83,0.5650982183645501,11,0.44,0.2733668341708543,10,0.4,
84,0.5650982183645501,11,0.44,0.2733668341708543,10,0.4,
85,0.5650982183645501,11,0.44,0.2733668341708543,10,0.4,
86,0.5650982183645501,11,0.44,0.26633165829145733,11,0.44,
87,0.5650982183645501,11,0.44,0.26633165829145733,11,0.44,
88,0.5609867519415258,11,0.44,0.26633165829145733,11,0.44,
89,0.5594639865996651,12,0.48,0.2150753768844221,5,0.2,
90,0.5651333591032085,13,0.52,0.5460636515912898,6,0.24,0.5555985053472492
91,0.5717875089734388,14,0.56,0.5460636515912898,6,0.24,0.5589255802823643
92,0.5736374178585234,13,0.52,0.5577889447236181,7,0.28,0.5657131812910707
93,0.5745393634840871,12,0.48,0.5619765494137353,6,0.24,0.5682579564489112
94,0.5745393634840871,12,0.48,0.5619765494137353,6,0.24,0.5682579564489112
95,0.5746916400182732,11,0.44,0.5619765494137353,6,0.24,0.5683340947160043
96,0.5758793969849247,10,0.4,0.5649676956209619,7,0.28,0.5704235463029433
97,0.5817978782802904,9,0.36,0.5649676956209619,7,0.28,0.5733827869506262
98,0.5873115577889447,8,0.32,0.21189279731993302,6,0.24,
99,0.5879396984924623,8,0.32,0.21189279731993302,6,0.24,
100,0.5879396984924623,8,0.32,0.5606604450825556,7,0.28,0.574300071787509
101,0.5418760469011725,12,0.48,0.5606604450825556,7,0.28,0.5512682459918641
102,0.5423270197139545,13,0.52,0.5606604450825556,7,0.28,0.551493732398255
103,0.5423270197139545,13,0.52,0.5606604450825556,7,0.28,0.551493732398255
104,0.5423270197139545,13,0.52,0.5606604450825556,7,0.28,0.551493732398255
105,0.5311171240819482,13,0.52,0.5678391959798995,6,0.24,
106,0.5330498647081562,13,0.52,0.2169179229480737,6,0.24,
107,0.5330498647081562,13,0.52,0.5635319454414932,7,0.28,
108,0.5314070351758794,12,0.48,0.5635319454414932,7,0.28,
109,0.5314070351758794,12,0.48,0.5703517587939698,6,0.24,
110,0.5314070351758794,12,0.48,0.5703517587939698,6,0.24,
111,0.5376884422110554,11,0.44,0.5703517587939698,6,0.24,
112,0.5504796710826863,11,0.44,0.5743000717875091,7,0.28,0.5623898714350977
113,0.511127063890883,7,0.28,0.5793251974156497,7,0.28,
114,0.511127063890883,7,0.28,0.5778894472361809,8,0.32,
115,0.511127063890883,7,0.28,0.5757358219669778,7,0.28,
116,0.511127063890883,7,0.28,0.5804020100502513,8,0.32,
117,0.511127063890883,7,0.28,0.5672110552763819,8,0.32,
118,0.5125628140703518,8,0.32,0.5633724176437744,9,0.36,
119,0.5125628140703518,8,0.32,0.5633724176437744,9,0.36,
120,0.5159128978224455,9,0.36,0.5633724176437744,9,0.36,
121,0.5160804020100503,10,0.4,0.5609296482412061,8,0.32,
122,0.5160804020100503,10,0.4,0.5609296482412061,8,0.32,
123,0.5160804020100503,10,0.4,0.5609296482412061,8,0.32,
124,0.5160804020100503,10,0.4,0.5609296482412061,8,0.32,
125,0.5254048017867113,9,0.36,0.7904522613065327,10,0.4,
126,0.5376884422110554,7,0.28,0.7867113344500279,9,0.36,
127,0.8027638190954773,8,0.32,0.2638190954773869,8,0.32,
128,0.5219849246231156,8,0.32,0.5644891122278057,9,0.36,
129,0.5436272270443125,11,0.44,0.5577889447236182,10,0.4,0.5507080858839654
130,0.546368204659662,11,0.44,0.5577889447236182,10,0.4,0.5520785746916401
131,0.5412060301507539,10,0.4,0.5577889447236181,11,0.44,0.549497487437186
132,0.540886249428963,11,0.44,0.5619004111466424,11,0.44,0.5513933302878027
133,0.540886249428963,11,0.44,0.5582077051926299,12,0.48,0.5495469773107964
134,0.5418760469011725,12,0.48,0.5582077051926299,12,0.48,0.5500418760469012
135,0.5477386934673366,13,0.52,0.5589485890993429,13,0.52,0.5533436412833397
136,0.5477386934673366,13,0.52,0.5589485890993429,13,0.52,0.5533436412833397
137,0.5403942790877464,13,0.52,0.5550831078469269,13,0.52,0.5477386934673367
138,0.5403942790877464,13,0.52,0.5540201005025126,12,0.48,0.5472071897951295
139,0.5402010050251256,12,0.48,0.5544388609715244,12,0.48,0.5473199329983249
140,0.5407808272129879,13,0.52,0.5504445303440278,13,0.52,0.5456126787785078
141,0.5394831299353913,14,0.56,0.5452261306532664,12,0.48,0.5423546302943288
142,0.5394831299353913,14,0.56,0.5472818638647786,11,0.44,0.5433824969000849
143,0.5407808272129879,13,0.52,0.5487437185929649,10,0.4,0.5447622729029764
144,0.5407808272129879,13,0.52,0.5559616263133852,11,0.44,0.5483712267631866
145,0.5406197654941373,12,0.48,0.5494137353433837,12,0.48,0.5450167504187604
146,0.542713567839196,11,0.44,0.5494137353433837,12,0.48,0.5460636515912898
147,0.542713567839196,11,0.44,0.5500579822187862,13,0.52,0.5463857750289911
148,0.5386021014161717,11,0.44,0.5500579822187862,13,0.52,0.544330041817479
149,0.5390589310187299,11,0.44,0.5500579822187862,13,0.52,0.544558456618758
150,0.5390589310187299,11,0.44,0.5500579822187862,13,0.52,0.544558456618758
151,0.5390589310187299,11,0.44,0.5498324958123953,12,0.48,0.5444457134155627
152,0.5390589310187299,11,0.44,0.5498324958123953,12,0.48,0.5444457134155627
153,0.546368204659662,11,0.44,0.5464824120603015,12,0.48,0.5464253083599817
154,0.5417085427135678,10,0.4,0.5509365006852446,11,0.44,0.5463225216994062
155,0.7705192629815746,9,0.36,0.5548576214405362,12,0.48,
156,0.7668341708542714,10,0.4,0.5545911375057104,11,0.44,
157,0.7651895842850617,11,0.44,0.5517587939698493,10,0.4,
158,0.7663316582914572,10,0.4,0.14321608040201003,10,0.4,
159,0.7663316582914572,10,0.4,0.14321608040201003,10,0.4,
160,0.7537688442211055,12,0.48,0.14435815440840566,11,0.44,
161,0.7537688442211056,11,0.44,0.5540201005025125,8,0.32,
162,0.7537688442211056,11,0.44,0.5549174443646805,7,0.28,
163,0.7608040201005026,10,0.4,0.5533919597989949,8,0.32,
164,0.7532104969290899,9,0.36,0.2024407753050969,7,0.28,
165,0.7532104969290899,9,0.36,0.2024407753050969,7,0.28,
166,0.7527638190954774,10,0.4,0.2024407753050969,7,0.28,
167,0.7527638190954774,10,0.4,0.2024407753050969,7,0.28,
168,0.7498604131769961,9,0.36,0.2024407753050969,7,0.28,
169,0.7498604131769961,9,0.36,0.2024407753050969,7,0.28,
170,0.7498604131769961,9,0.36,0.1503672207189795,13,0.52,
171,0.7498604131769961,9,0.36,0.13993042133745653,13,0.52,
172,0.7498604131769961,9,0.36,0.13993042133745653,13,0.52,
173,0.7498604131769961,9,0.36,0.1440536013400335,12,0.48,
174,0.7557788944723618,10,0.4,0.1440536013400335,12,0.48,
175,0.7430904522613065,8,0.32,0.1440536013400335,12,0.48,
176,0.7554438860971524,9,0.36,0.1365920511649155,11,0.44,
177,0.7556532663316583,8,0.32,0.13517587939698492,10,0.4,
178,0.7556532663316583,8,0.32,0.13517587939698492,10,0.4,
179,0.27781765972720746,7,0.28,0.10175879396984924,8,0.32,
180,0.27781765972720746,7,0.28,0.10175879396984924,8,0.32,
181,0.27781765972720746,7,0.28,0.10409188801148601,7,0.28,
182,0.5303791685701233,11,0.44,0.7418341708542714,8,0.32,
183,0.5053042992741485,9,0.36,0.747068676716918,9,0.36,
184,0.2826633165829146,8,0.32,0.7468592964824121,8,0.32,
185,0.5226130653266332,9,0.36,0.5797738693467337,8,0.32,
186,0.5226130653266332,9,0.36,0.5784477945281965,9,0.36,
187,0.5226130653266332,9,0.36,0.5768844221105527,10,0.4,
188,0.5241206030150753,10,0.4,0.580681183696259,9,0.36,
189,0.519821328866555,9,0.36,0.5809045226130654,10,0.4,
190,0.519821328866555,9,0.36,0.5783462768387392,11,0.44,
191,0.519821328866555,9,0.36,0.5804020100502513,10,0.4,
192,0.5372316126084971,11,0.44,0.580681183696259,9,0.36,
193,0.5385259631490786,12,0.48,0.580681183696259,9,0.36,
194,0.5385259631490786,12,0.48,0.580681183696259,9,0.36,
195,0.5411673753382296,13,0.52,0.5773869346733668,10,0.4,
196,0.5510887772194305,12,0.48,0.5773869346733668,10,0.4,0.5642378559463986
197,0.5585620409741012,13,0.52,0.5773869346733668,10,0.4,0.567974487823734
198,0.5590452261306532,12,0.48,0.5773869346733668,10,0.4,0.56821608040201
199,0.5590452261306532,12,0.48,0.576214405360134,9,0.36,0.5676298157453936
